Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/oam.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/oam.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/oam.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/mirrors,GET,com.nokia.eda.oam.v1alpha1.MirrorList,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors,DELETE,com.nokia.eda.oam.v1alpha1.MirrorList,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors,GET,com.nokia.eda.oam.v1alpha1.MirrorList,mirror_list,true,true,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors,POST,com.nokia.eda.oam.v1alpha1.Mirror,mirror,true,false,true
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors/_deleted,GET,com.nokia.eda.oam.v1alpha1.Mirror_DeletedResources,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors/{name},DELETE,Status,mirror,true,false,true
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors/{name},GET,com.nokia.eda.oam.v1alpha1.Mirror,mirror,true,true,true
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors/{name},PATCH,Patch,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors/{name},PUT,com.nokia.eda.oam.v1alpha1.Mirror,mirror,true,false,true
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/mirrors/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds,DELETE,com.nokia.eda.oam.v1alpha1.ThresholdList,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds,GET,com.nokia.eda.oam.v1alpha1.ThresholdList,threshold_list,true,true,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds,POST,com.nokia.eda.oam.v1alpha1.Threshold,threshold,true,false,true
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds/_deleted,GET,com.nokia.eda.oam.v1alpha1.Threshold_DeletedResources,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds/{name},DELETE,Status,threshold,true,false,true
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds/{name},GET,com.nokia.eda.oam.v1alpha1.Threshold,threshold,true,true,true
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds/{name},PATCH,Patch,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds/{name},PUT,com.nokia.eda.oam.v1alpha1.Threshold,threshold,true,false,true
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/thresholds/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/oam.eda.nokia.com/v1alpha1/thresholds,GET,com.nokia.eda.oam.v1alpha1.ThresholdList,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/pings,GET,com.nokia.eda.oam.v1alpha1.PingList,ping_list,true,true,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/pings,POST,com.nokia.eda.oam.v1alpha1.Ping,ping,true,false,true
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/pings/{name},DELETE,,ping,true,false,true
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/pings/{name},GET,com.nokia.eda.oam.v1alpha1.Ping,ping,true,true,true
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/pings/{name}/_artifacts,GET,,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/pings/{name}/_artifacts/{artifact},GET,,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/pings/{name}/_input,GET,WorkflowGetInputsRespElem,workflow_get_inputs_resp_elem,true,true,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/pings/{name}/_input,PUT,WorkflowInputData,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/pings/{name}/_logs,GET,,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/pings/{name}/_terminate,PUT,,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/techsupports,GET,com.nokia.eda.oam.v1alpha1.TechSupportList,tech_support_list,true,true,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/techsupports,POST,com.nokia.eda.oam.v1alpha1.TechSupport,tech_support,true,false,true
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/techsupports/{name},DELETE,,tech_support,true,false,true
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/techsupports/{name},GET,com.nokia.eda.oam.v1alpha1.TechSupport,tech_support,true,true,true
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/techsupports/{name}/_artifacts,GET,,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/techsupports/{name}/_artifacts/{artifact},GET,,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/techsupports/{name}/_input,GET,WorkflowGetInputsRespElem,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/techsupports/{name}/_input,PUT,WorkflowInputData,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/techsupports/{name}/_logs,GET,,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/namespaces/{namespace}/techsupports/{name}/_terminate,PUT,,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/pings,GET,com.nokia.eda.oam.v1alpha1.PingList,,false,false,false
/workflows/v1/oam.eda.nokia.com/v1alpha1/techsupports,GET,com.nokia.eda.oam.v1alpha1.TechSupportList,,false,false,false
